,AAPL,MSFT,AMZN,FB,TSLA,JPM,NVDA,UNH,HD,ADBE
0,138.78,262.83,3438.58,316.14,779.96,154.5,622.0,400.95,327.19,534.82
1,135.3,265.4,3439.0,309.51,747.17,151.89,616.0,405.14,330.61,524.78
2,134.9,274.16,3466.42,303.97,769.52,157.18,628.0,406.24,338.53,519.85
3,141.1,263.29,3524.29,318.12,781.68,156.47,615.0,414.25,324.29,531.9
4,139.1,266.9,3390.54,317.23,762.91,152.68,616.0,400.34,333.71,523.17
5,137.7,271.14,3507.99,314.16,780.71,156.01,619.0,400.43,323.11,537.51
6,140.1,272.51,3395.07,311.88,780.99,158.35,621.0,417.31,323.53,530.77
7,138.0,267.78,3384.21,309.02,753.82,156.9,638.0,412.5,329.57,517.6
8,136.6,265.27,3363.72,307.56,772.37,158.04,618.0,416.64,330.1,529.48
9,139.2,273.32,3490.7,305.94,760.96,158.01,612.0,411.25,324.22,519.19
10,138.2,271.71,3443.77,313.99,783.11,156.0,617.0,414.99,332.6,529.23
11,136.3,263.72,3472.39,315.51,760.34,154.02,622.0,408.19,324.53,531.48
12,136.0,271.6,3427.79,312.31,749.38,157.72,630.0,416.23,332.49,528.1
13,134.98,270.16,3452.38,314.19,753.31,157.63,620.0,400.12,335.46,526.03
14,141.15,270.676,3432.52,310.73,752.57,158.35,634.0,403.91,329.07,523.41
15,138.53,262.5,3376.06,307.87,772.32,154.91,635.0,407.65,325.81,528.3
16,138.85,265.2,3404.07,315.67,770.66,152.77,617.0,402.26,334.72,519.75
17,134.91,264.8,3507.48,306.28,749.22,154.71,624.0,403.26,337.61,517.27
18,135.47,265.1,3437.35,309.46,766.93,159.11,633.0,398.37,326.48,527.58
19,139.92,273.4,3422.67,317.21,769.39,152.8,610.0,414.17,338.22,514.14
20,137.0,273.0,3363.91,315.96,750.58,154.22,628.0,401.11,331.59,525.5
21,135.0,265.6,3449.02,314.77,782.2,153.28,617.0,397.8,336.2,520.38
22,139.6,274.0,3414.4,316.11,781.72,151.73,632.0,416.21,322.92,534.03
23,135.16,272.0,3458.12,306.05,762.58,153.7,622.0,403.81,335.48,526.75
24,138.9,263.3,3465.72,313.74,782.17,151.962,638.2,416.39,325.49,536.02
25,137.92,265.2,3463.89,303.31,776.33,151.679,621.76,411.43,323.01,528.32
26,134.71,270.5,3445.67,312.65,751.8,157.716,628.2,406.01,327.33,523.15
27,135.59,262.0,3459.47,317.92,757.03,156.71,628.5,410.63,328.84,527.32
28,137.76,266.6,3381.45,316.31,762.12,157.565,631.72,413.12,333.27,530.83
29,137.45,274.1,3356.07,312.77,760.5,157.609,630.99,411.23,323.93,516.14
30,138.65,267.7,3515.0,305.8,762.22,155.545,634.85,399.52,326.68,518.85
31,135.04,265.3,3377.36,310.84,763.82,153.299,615.41,415.25,328.34,522.61
32,140.24,264.9,3419.94,304.64,761.66,156.768,628.51,398.76,338.09,532.38
33,137.902,273.4,3513.63,316.6,769.77,158.085,621.63,399.59,325.0,535.17
34,138.313,270.7,3461.43,317.67,770.3,153.206,636.98,405.93,334.13,526.76
35,137.562,274.7,3488.49,318.0,748.73,153.66,634.26,402.82,329.08,530.19
36,139.76,272.3,3384.57,310.86,748.2,154.718,619.34,400.22,326.98,534.85
37,137.09,262.9,3455.94,307.56,779.54,152.127,628.57,409.1,333.08,526.06
38,136.016,272.5,3370.38,306.784,766.45,154.827,620.7,410.07,329.26,537.4
39,141.027,261.8,3404.12,315.364,769.26,152.441,609.35,408.35,335.79,516.86
40,138.267,269.2,3492.37,313.097,753.84,154.382,614.5,411.82,324.98,516.77
41,139.754,262.31,3389.7,304.266,756.63,153.108,617.65,409.14,333.73,517.1
42,137.29,262.87,3377.48,313.069,763.71,157.998,634.95,401.91,331.06,521.39
43,135.4,261.74,3456.61,314.3,783.57,153.879,612.43,415.51,333.07,522.11
44,137.66,268.38,3428.14,313.98,760.86,157.843,634.69,413.59,327.95,519.16
45,136.89,268.69,3356.99,307.38,774.91,152.89,636.64,409.07,324.64,520.5
46,140.32,273.82,3515.01,307.66,751.09,157.087,621.46,417.51,328.6,535.18
47,137.7,266.36,3376.03,315.47,749.17,155.46,620.71,409.94,335.53,538.48
48,135.23,268.86,3520.91,313.45,760.67,156.27,625.3,415.38,337.41,526.09
49,136.79,266.66,3371.73,317.47,772.37,153.85,616.72,414.8,331.7,529.54
50,139.33,269.37,3370.51,304.8,770.32,158.35,624.35,405.97,338.19,534.1
51,134.43,264.67,3388.73,309.88,769.68,153.23,632.6,408.07,335.71,534.91
52,134.9,273.95,3400.69,303.46,757.67,158.59,610.217,401.71,335.87,521.46
53,138.03,274.57,3513.91,306.95,769.87,156.73,635.305,414.73,327.05,527.56
54,138.56,262.76,3473.95,307.97,772.36,152.7,632.695,405.35,322.65,519.13
55,138.42,272.11,3491.9,305.45,754.3,153.9,610.928,410.7,332.69,528.18
56,136.5,268.04,3380.46,314.94,759.99,153.59,611.261,402.06,323.37,521.44
57,136.76,262.33,3464.0,304.26,767.48,157.33,623.02,411.74,333.65,521.23
58,137.45,262.25,3412.73,315.43,766.97,156.35,615.528,413.22,330.06,518.31
59,139.68,273.81,3421.06,313.72,765.23,154.79,636.08,402.0,326.24,523.05
60,137.92,270.6,3513.82,315.59,758.7,152.29,619.341,397.95,337.82,515.5
61,134.98,274.5,3427.63,312.17,779.87,158.9,627.887,408.85,326.51,527.32
62,140.45,263.0,3494.07,313.7,753.26,157.55,625.096,404.52,336.77,533.81
63,134.96,273.3,3353.22,304.64,778.76,156.92,628.952,411.72,333.55,530.83
64,139.03,266.4,3356.74,308.6,756.91,157.64,610.076,414.15,335.91,519.57
65,137.54,262.0,3456.07,317.4,754.23,152.47,623.265,399.06,336.67,537.6
66,137.62,267.3,3476.82,308.0,768.29,158.88,635.858,415.7,325.72,520.83
67,135.84,271.4,3445.12,309.355,751.06,154.92,619.612,401.13,337.24,520.0
68,136.89,265.9,3479.5,308.793,756.7,153.35,613.367,414.17,329.76,521.36
69,137.46,266.4,3485.69,311.0,772.5,153.88,608.607,404.88,326.73,522.24
70,137.81,274.7,3368.03,308.8,763.6,156.68,633.597,409.46,326.45,521.89
71,135.7,263.0,3513.73,315.4,775.0,151.84,635.736,412.41,328.06,537.46
72,138.22,264.5,3447.61,311.6,781.0,155.06,626.511,415.11,326.51,537.53
73,138.15,264.3,3448.29,316.2,749.0,152.73,615.181,404.91,327.66,516.53
74,138.36,271.4,3415.78,314.1,768.0,157.14,621.365,407.49,335.57,530.25
75,138.52,269.0,3504.05,304.5,749.0,152.19,636.534,407.7,322.97,517.89
76,139.53,273.9,3431.55,307.7,750.0,152.32,612.786,403.64,329.75,520.66
77,134.78,272.0,3440.66,306.4,763.0,156.86,621.188,400.15,322.65,530.93
78,140.0,265.6,3513.24,305.2,748.0,156.88,611.966,401.45,335.4,525.75
79,140.5,272.3,3357.48,312.4,766.0,153.97,620.681,402.74,328.68,523.13
80,139.79,262.56,3474.57,313.2,775.0,158.79,632.367,415.75,329.86,522.69
81,137.76,263.86,3453.17,314.8,761.0,152.92,624.587,401.4,335.07,532.12
82,138.04,268.32,3359.55,310.0,755.0,155.54,635.478,400.53,326.35,534.57
83,134.64,267.14,3482.31,316.3,757.0,158.24,623.69,404.4,330.32,521.27
84,136.5,263.34,3380.24,304.9,747.06,158.9,634.375,409.31,326.17,527.09
85,135.12,262.23,3493.25,312.7,764.63,157.95,635.13,408.79,332.66,515.11
86,139.77,267.65,3487.03,305.7,773.58,152.04,627.161,417.62,325.42,528.79
87,140.03,262.04,3366.84,318.0,749.24,152.49,611.541,414.6,324.9,530.0
88,140.179,266.56,3496.15,305.2,759.82,154.46,608.43,410.59,336.57,521.06
89,139.248,268.69,3491.06,313.6,781.23,156.76,613.862,410.18,323.99,532.13
90,135.011,272.55,3397.21,314.1,754.48,157.26,625.633,400.99,325.52,539.12
91,138.81,263.4,3404.84,314.9,779.37,157.45,619.129,403.66,325.49,534.58
92,134.59,264.96,3489.19,315.9,769.99,153.41,619.25,412.6,331.07,535.33
93,136.222,265.77,3484.99,307.5,754.96,154.76,628.497,416.93,330.02,530.71
94,137.16,269.59,3363.24,303.6,780.95,154.91,627.735,407.65,329.55,524.56
95,139.92,272.54,3401.8,312.3,768.06,157.94,616.325,403.01,322.38,523.29
96,136.42,272.7,3394.22,313.4,755.64,157.19,611.104,410.74,337.85,519.13
97,138.89,269.24,3505.9,311.0,781.7,154.49,632.109,403.01,325.36,524.99
98,140.53,271.44,3452.45,312.9,772.11,156.68,629.018,412.72,322.66,526.9
99,135.2,266.21,3371.18,314.2,755.67,154.56,636.196,404.44,326.9,514.64
100,138.86,265.17,3478.28,309.25,751.95,157.26,632.784,410.01,333.83,530.36
101,140.33,270.87,3441.34,303.36,750.49,153.42,618.36,407.39,329.6,517.02
102,136.69,269.64,3361.46,315.87,768.17,157.73,628.382,402.39,336.1,517.6
103,138.78,269.8,3455.62,317.39,753.81,154.61,622.428,416.18,333.66,516.53
104,137.19,271.5,3475.16,308.42,764.41,155.54,612.909,398.18,329.88,526.48
105,139.41,272.4,3519.24,317.9,777.44,154.07,616.444,413.66,334.48,539.27
106,137.16,264.6,3459.05,309.08,781.55,156.24,623.726,414.63,331.43,533.3
107,138.7,263.55,3491.42,309.38,774.36,158.3,614.781,409.6,336.63,527.9
108,134.7,274.26,3401.64,315.35,779.88,156.3,636.476,404.91,327.31,527.86
109,138.2,266.28,3433.79,309.06,757.24,157.4,608.932,410.06,326.39,525.11
110,138.56,262.32,3427.64,310.08,749.2,157.9,628.468,406.13,335.88,519.01
111,139.14,273.77,3417.66,303.52,779.66,158.5,623.308,403.31,330.46,521.81
112,136.46,268.55,3507.67,308.9,777.67,158.9,616.886,408.59,323.4,532.92
113,134.41,270.72,3512.25,305.14,761.7,157.5,633.871,398.29,333.59,535.28
114,138.77,263.5,3461.45,306.5,771.3,158.5,632.128,397.83,323.43,528.09
115,136.98,271.98,3429.2,315.34,774.3,154.4,632.567,410.39,334.05,529.65
116,136.36,270.69,3463.72,311.18,780.3,152.2,618.683,416.07,333.97,533.56
117,138.31,263.2,3357.91,304.48,752.8,156.5,608.6,404.66,338.06,514.46
118,138.939,274.7,3516.1,312.48,774.5,154.2,633.045,405.84,332.87,514.39
119,137.109,266.6,3409.49,308.67,773.2,153.5,635.808,408.22,329.78,529.69
120,134.68,261.7,3447.24,312.14,769.1,157.4,624.973,400.24,331.26,521.69
121,140.45,271.3,3482.25,311.0,755.5,154.3,628.565,399.43,328.23,517.17
122,139.45,262.3,3466.73,312.0,773.35,157.4,632.686,414.63,326.12,521.61
123,139.04,262.6,3359.36,310.23,782.91,158.5,630.869,409.07,338.09,521.9
124,140.02,264.2,3494.13,307.6,750.89,154.4,617.552,411.63,336.73,538.56
125,136.02,265.9,3499.76,316.72,754.66,157.49,614.542,399.24,328.48,519.79
126,138.9,267.9,3381.3,304.57,781.12,153.35,634.568,404.84,332.93,518.68
127,135.09,262.6,3428.75,308.27,767.88,153.34,615.045,416.03,322.38,515.82
128,136.51,267.0,3482.58,303.86,771.34,152.21,625.444,415.52,336.66,527.19
129,138.81,261.7,3519.03,316.49,758.44,156.41,617.62,402.05,332.51,518.73
130,139.31,265.4,3419.84,316.46,757.73,159.13,609.336,399.2,322.66,528.5
131,138.372,267.1,3482.3,309.3,765.67,156.53,635.223,406.2,336.04,538.61
132,138.715,262.5,3409.22,309.33,760.94,156.49,627.157,410.99,322.82,521.67
133,140.329,265.8,3424.52,316.03,749.09,154.05,636.042,405.61,332.33,530.57
134,139.407,268.1,3417.01,309.29,754.73,155.05,615.159,401.16,326.74,533.38
135,137.06,265.5,3466.04,313.8,776.34,158.9,623.336,415.69,333.99,523.12
136,136.07,272.2,3419.97,307.38,758.39,157.21,620.1,398.47,325.98,531.68
137,138.92,263.4,3497.32,309.4,775.59,152.04,624.298,413.29,337.67,519.25
138,137.03,264.61,3500.06,313.79,755.36,159.16,617.631,403.49,335.75,536.82
